#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2024-04-26 12:27:54.858
#Sample rate: 1.72414e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0002374062913057889,0.4053395819691284,-9.538419177409882
0.0002379862913057889,0.4089973717964946,-9.575033034245601
0.0002385662913057889,0.4089973717964946,-9.604324119714176
0.0002391462913057889,0.4053395819691284,-9.60798550539775
0.0002397262913057889,0.4053395819691284,-9.626292433815609
0.0002403062913057889,0.4089973717964946,-9.611646891081321
0.0002408862913057889,0.412655161623861,-9.589678576979889
0.0002414662913057889,0.412655161623861,-9.556726105827741
0.0002420462913057889,0.412655161623861,-9.512789477624876
0.0002426262913057889,0.4163129514512273,-9.446884535320581
0.0002432062913057889,0.4163129514512273,-9.41027067848486
0.0002437862913057889,0.412655161623861,-9.377318207332713
0.0002443662913057889,0.412655161623861,-9.329720193446276
0.000244946291305789,0.412655161623861,-9.307751879344844
0.0002455262913057889,0.412655161623861,-9.241846937040549
0.000246106291305789,0.4089973717964946,-9.179603380419824
0.0002466862913057889,0.4053395819691284,-9.139328137900533
0.000247266291305789,0.4089973717964946,-9.095391509697668
0.0002478462913057889,0.4089973717964946,-9.06243903854552
0.0002484262913057889,0.412655161623861,-9.014841024659084
0.000249006291305789,0.4199707412785935,-8.981888553506936
0.0002495862913057889,0.4199707412785935,-8.9342905396205
0.000250166291305789,0.4199707412785935,-8.894015297101207
0.0002507462913057889,0.4089973717964946,-8.861062825949059
0.000251326291305789,0.412655161623861,-8.820787583429768
0.0002519062913057889,0.4163129514512273,-8.787835112277619
0.000252486291305789,0.4163129514512273,-8.769528183859759
0.0002530662913057889,0.4163129514512273,-8.919644996886213
0.000253646291305789,0.4163129514512273,-9.033147953076945
0.0002542262913057889,0.412655161623861,-9.164957837685536
0.000254806291305789,0.412655161623861,-9.256492479774836
0.0002553862913057889,0.4089973717964946,-9.344365736180565
0.0002559662913057889,0.4089973717964946,-9.421254835535576
0.000256546291305789,0.4089973717964946,-9.483498392156301
0.0002571262913057889,0.412655161623861,-9.534757791726308
0.000257706291305789,0.4089973717964946,-9.567710262878457
0.0002582862913057889,0.4089973717964946,-9.604324119714176
0.000258866291305789,0.4089973717964946,-9.611646891081321
0.0002594462913057889,0.4089973717964946,-9.626292433815609
0.000260026291305789,0.4089973717964946,-9.618969662448466
0.0002606062913057889,0.4053395819691284,-9.600662734030605
0.000261186291305789,0.412655161623861,-9.571371648562028
0.0002617662913057889,0.412655161623861,-9.527435020359166
0.000262346291305789,0.4089973717964946,-9.461530078054869
0.000262926291305789,0.4089973717964946,-9.424916221219149
0.0002635062913057889,0.412655161623861,-9.391963750067001
0.000264086291305789,0.4163129514512273,-9.333381579129849
0.0002646662913057889,0.4163129514512273,-9.307751879344844
0.000265246291305789,0.412655161623861,-9.260153865458408
0.0002658262913057889,0.4089973717964946,-9.194248923154113
0.000266406291305789,0.4089973717964946,-9.150312294951249
0.0002669862913057889,0.412655161623861,-9.102714281064813
0.000267566291305789,0.412655161623861,-9.069761809912665
0.0002681462913057889,0.412655161623861,-9.022163796026227
0.000268726291305789,0.412655161623861,-8.985549939190507
0.0002693062913057889,0.412655161623861,-8.948936082354788
0.000269886291305789,0.4163129514512273,-8.904999454151923
0.000270466291305789,0.4163129514512273,-8.872046982999775
0.0002710462913057889,0.4163129514512273,-8.831771740480484
0.000271626291305789,0.412655161623861,-8.798819269328336
0.0002722062913057889,0.4163129514512273,-8.769528183859759
0.000272786291305789,0.4163129514512273,-8.919644996886213
0.0002733662913057889,0.412655161623861,-9.029486567393372
0.000273946291305789,0.4163129514512273,-9.15397368063482
0.0002745262913057889,0.4163129514512273,-9.252831094091265
0.000275106291305789,0.4089973717964946,-9.333381579129849
0.0002756862913057889,0.4053395819691284,-9.413932064168433
0.000276266291305789,0.4016817921417621,-9.476175620789157
0.0002768462913057889,0.4089973717964946,-9.534757791726308
0.0002774262913057889,0.4053395819691284,-9.567710262878457
0.000278006291305789,0.4053395819691284,-9.604324119714176
0.0002785862913057889,0.4053395819691284,-9.60798550539775
0.000279166291305789,0.4053395819691284,-9.622631048132037
0.0002797462913057889,0.4053395819691284,-9.622631048132037
0.000280326291305789,0.4053395819691284,-9.600662734030605
0.0002809062913057889,0.4089973717964946,-9.578694419929173
0.000281486291305789,0.412655161623861,-9.534757791726308
0.0002820662913057889,0.4163129514512273,-9.472514235105585
0.000282646291305789,0.412655161623861,-9.428577606902721
0.0002832262913057889,0.412655161623861,-9.395625135750572
0.000283806291305789,0.4089973717964946,-9.344365736180565
0.0002843862913057889,0.412655161623861,-9.315074650711988
0.0002849662913057889,0.4163129514512273,-9.267476636825553
0.000285546291305789,0.4163129514512273,-9.19058753747054
0.0002861262913057889,0.4199707412785935,-9.15397368063482
0.000286706291305789,0.4163129514512273,-9.110037052431956
0.0002872862913057889,0.4199707412785935,-9.073423195596236
0.000287866291305789,0.4199707412785935,-9.033147953076945
0.0002884462913057889,0.4163129514512273,-8.992872710557652
0.000289026291305789,0.4199707412785935,-8.952597468038359
0.0002896062913057889,0.4163129514512273,-8.912322225519068
0.000290186291305789,0.4163129514512273,-8.87936975436692
0.0002907662913057889,0.412655161623861,-8.835433126164055
0.000291346291305789,0.412655161623861,-8.795157883644764
0.0002919262913057889,0.4163129514512273,-8.765866798176187
0.0002925062913057889,0.4089973717964946,-8.890353911417636
0.000293086291305789,0.4089973717964946,-9.011179638975513
0.0002936662913057889,0.412655161623861,-9.135666752216959
0.000294246291305789,0.412655161623861,-9.238185551356976
0.0002948262913057889,0.4053395819691284,-9.326058807762704
0.000295406291305789,0.4053395819691284,-9.402947907117717
0.0002959862913057889,0.4089973717964946,-9.46519146373844
0.000296566291305789,0.4053395819691284,-9.527435020359166
0.0002971462913057889,0.4053395819691284,-9.564048877194885
0.000297726291305789,0.4053395819691284,-9.604324119714176
0.0002983062913057889,0.412655161623861,-9.611646891081321
0.000298886291305789,0.4053395819691284,-9.622631048132037
0.000299466291305789,0.4053395819691284,-9.629953819499182
0.0003000462913057889,0.4089973717964946,-9.615308276764893
0.000300626291305789,0.4089973717964946,-9.589678576979889
0.0003012062913057889,0.4089973717964946,-9.542080563093453
0.000301786291305789,0.4053395819691284,-9.479837006472728
0.0003023662913057889,0.4053395819691284,-9.428577606902721
0.000302946291305789,0.4089973717964946,-9.406609292801289
0.0003035262913057889,0.412655161623861,-9.348027121864137
0.000304106291305789,0.4089973717964946,-9.31873603639556
0.0003046862913057889,0.4089973717964946,-9.274799408192697
0.000305266291305789,0.4089973717964946,-9.201571694521256
0.0003058462913057889,0.412655161623861,-9.161296452001965
0.0003064262913057889,0.412655161623861,-9.1173598237991
0.000307006291305789,0.4089973717964946,-9.080745966963381
0.0003075862913057889,0.4089973717964946,-9.0258251817098
0.000308166291305789,0.4089973717964946,-8.992872710557652
0.0003087462913057889,0.4089973717964946,-8.952597468038359
0.000309326291305789,0.412655161623861,-8.915983611202639
0.0003099062913057889,0.412655161623861,-8.883031140050491
0.000310486291305789,0.4089973717964946,-8.8427558975312
0.0003110662913057889,0.4089973717964946,-8.809803426379052
0.000311646291305789,0.4163129514512273,-8.769528183859759
0.0003122262913057889,0.4163129514512273,-8.857401440265487
0.000312806291305789,0.412655161623861,-8.992872710557652
0.0003133862913057889,0.4163129514512273,-9.1173598237991
0.0003139662913057889,0.4163129514512273,-9.219878622939117
0.000314546291305789,0.4163129514512273,-9.304090493661272
0.0003151262913057889,0.4163129514512273,-9.391963750067001
0.000315706291305789,0.4089973717964946,-9.450545921004153
0.0003162862913057889,0.4016817921417621,-9.516450863308449
0.000316866291305789,0.4089973717964946,-9.553064720144169
0.0003174462913057889,0.4053395819691284,-9.597001348347034
0.000318026291305789,0.4089973717964946,-9.611646891081321
0.0003186062913057889,0.4089973717964946,-9.618969662448466
0.000319186291305789,0.4053395819691284,-9.626292433815609
0.0003197662913057889,0.4089973717964946,-9.604324119714176
0.000320346291305789,0.4089973717964946,-9.589678576979889
0.0003209262913057889,0.4053395819691284,-9.549403334460598
0.0003215062913057889,0.4016817921417621,-9.487159777839873
0.000322086291305789,0.4089973717964946,-9.432238992586292
0.0003226662913057889,0.4089973717964946,-9.41027067848486
0.000323246291305789,0.4089973717964946,-9.362672664598424
0.0003238262913057889,0.412655161623861,-9.322397422079133
0.000324406291305789,0.412655161623861,-9.28212217955984
0.0003249862913057889,0.4163129514512273,-9.219878622939117
0.000325566291305789,0.4163129514512273,-9.168619223369108
0.0003261462913057889,0.4163129514512273,-9.1173598237991
0.000326726291305789,0.4163129514512273,-9.080745966963381
0.0003273062913057889,0.4163129514512273,-9.040470724444088
0.000327886291305789,0.412655161623861,-9.000195481924797
0.0003284662913057889,0.4089973717964946,-8.959920239405504
0.0003290462913057889,0.4089973717964946,-8.919644996886213
0.000329626291305789,0.4163129514512273,-8.883031140050491
0.0003302062913057889,0.4199707412785935,-8.8427558975312
0.000330786291305789,0.4199707412785935,-8.817126197746196
0.0003313662913057889,0.4236285311059598,-8.773189569543332
0.000331946291305789,0.4199707412785935,-8.835433126164055
0.0003325262913057889,0.4199707412785935,-8.978227167823364
0.000333106291305789,0.4163129514512273,-9.091730124014097
0.0003336862913057889,0.412655161623861,-9.205233080204827
0.000334266291305789,0.4089973717964946,-9.285783565243413
0.0003348462913057889,0.4053395819691284,-9.377318207332713
0.0003354262913057889,0.4053395819691284,-9.443223149637008
0.000336006291305789,0.4016817921417621,-9.512789477624876
0.0003365862913057889,0.4016817921417621,-9.549403334460598
0.000337166291305789,0.4053395819691284,-9.586017191296317
0.0003377462913057889,0.4053395819691284,-9.60798550539775
0.000338326291305789,0.4053395819691284,-9.618969662448466
0.0003389062913057889,0.412655161623861,-9.626292433815609
0.000339486291305789,0.4089973717964946,-9.611646891081321
0.0003400662913057889,0.4053395819691284,-9.59333996266346
0.000340646291305789,0.4053395819691284,-9.556726105827741
0.0003412262913057889,0.4089973717964946,-9.50180532057416
0.000341806291305789,0.4089973717964946,-9.443223149637008
0.0003423862913057889,0.4089973717964946,-9.421254835535576
0.0003429662913057889,0.4163129514512273,-9.37365682164914
0.000343546291305789,0.4089973717964946,-9.326058807762704
0.0003441262913057889,0.4053395819691284,-9.293106336610556
0.000344706291305789,0.4053395819691284,-9.22720139430626
0.0003452862913057889,0.412655161623861,-9.179603380419824
0.000345866291305789,0.412655161623861,-9.135666752216959
0.0003464462913057889,0.4163129514512273,-9.095391509697668
0.000347026291305789,0.412655161623861,-9.047793495811232
0.0003476062913057889,0.4089973717964946,-9.00751825329194
0.000348186291305789,0.4089973717964946,-8.97090439645622
0.0003487662913057889,0.4089973717964946,-8.926967768253355
0.000349346291305789,0.4053395819691284,-8.894015297101207
